Time,Px,Py,Pz,Theta 1,Theta 2,Theta 3,Theta-dot 1,Theta-dot 2,Theta-dot 3
0,4.0,1.5,13.0,6.3611093629270335e-15,-33.02444851992605,50.85759440358768,0,0,0
0.015,4.007407407407407,1.4259259259259258,12.518518518518519,-0.2955001720920082,-38.86111177596609,63.86309632502407,-0.3589785649011977,-6.151358153814702,13.723165919586569
0.03,4.022222222222222,1.2777777777777777,11.555555555555555,-0.9706160512484265,-48.11476133866482,84.56839815428263,-0.8581351036043056,-9.606824456889303,21.571756308221076
0.045,4.037037037037037,1.1296296296296295,10.592592592592592,-1.78002829328194,-55.74122692538416,101.75513083838469,-1.0314727131170045,-8.26779961724698,18.7022516951567
0.06,4.051851851851852,0.9814814814814814,9.629629629629628,-2.7546834687141133,-62.477559347092445,117.04196683949884,-1.2434723172890523,-7.471730057755569,17.004127741818916
0.075,4.066666666666667,0.8333333333333333,8.666666666666664,-3.929447539745731,-68.67114775046886,131.15386020018374,-1.497360653580192,-6.984190139883228,15.911182480981642
0.09,4.081481481481482,0.6851851851851851,7.7037037037037015,-5.340025738435087,-74.55347897322473,144.49357665802802,-1.79136879167061,-6.749348386045408,15.17811849413948
0.105,4.096296296296297,0.537037037037037,6.740740740740739,-7.017461485354663,-80.38038761861297,157.300912998035,-2.1160743889233213,-6.914923446887003,14.642671388923977
0.12,4.1111111111111125,0.38888888888888884,5.777777777777776,-8.981072902237337,-86.95704352078741,169.597887634983,-2.4538033565375272,-9.343558315110757,13.766393079990117
0.135,4.1259259259259276,0.24074074074074067,4.814814814814813,-11.23244542342781,-116.81338430874393,175.64457765776515,-2.7818201504611535,-91.18077594710411,-8.944659402511258
0.15000000000000002,4.140740740740743,0.0925925925925925,3.8518518518518503,-13.753612313959092,179.95239827656752,164.40503904041816,-3.0784581660135726,-45.398062753192356,-14.299360208369805
0.16500000000000004,4.155555555555558,-0.055555555555555663,2.8888888888888875,-16.510536091795267,156.0891305940098,151.85868972343113,-3.3286608898681056,-15.360700256073937,-14.860779391886009
0.18000000000000005,4.170370370370373,-0.20370370370370383,1.9259259259259247,-19.459936650083222,148.34401670100712,138.8434850268885,-3.525970760263695,-4.2783935394511525,-15.459132707377359
0.19500000000000006,4.185185185185188,-0.35185185185185197,0.9629629629629618,-22.5562341593844,147.094044328456,125.2095795249082,-3.671063439118202,0.8217051284869183,-16.32561607586176
0.21000000000000008,4.195061728395064,-0.4506172839506174,0.3209876543209865,-24.68063043351529,148.20184995569,115.63465360770826,-2.4940860693160944,1.960758890201734,-11.423572184860495
0.2250000000000001,4.200000000000003,-0.5000000000000001,-1.1102230246251565e-15,-25.756470674270656,149.17156741350155,110.65560994147053,-1.2562930059974466,1.2713185131223803,-5.879161121643312
0.2400000000000001,4.2,-0.5,0.0,-25.75647067427056,149.17156741350144,110.65560994147059,0.0,0.0,0.0
